Dataset Partition	Overrepresented lemmas
65	(hyp : 0.0002),(momb : 0.029),(elongation : 0.0037),(allelochemical : 0.0452),(rna : 0.0001),(benzoxazinoid : 0.0452),(yuc : 0.0299),(membrane : 0.0011),(thaliana : 0.0002),(cpsf : 0.0231),(reader : 0.0231),(physiological : 0.0493),(fue : 0.0126),(plasma : 0.0011),(lb : 0.0211),(autophagy : 0.0008),(require : 0.0397),(hypocotyl : 0.0002),(ma : 0.0267),(harvest : 0.0026),(seaweed : 0.0007),(shade : 0.0127),(inoculate : 0.0344),(choice : 0.0126),(hybrid : 0.0001),(hpi : 0.0056),(polyadenylation : 0.0132),(combination : 0.0067),(library : 0.0001),(cultivar : 0.0041),(biosynthesis : 0.0085),(shb : 0.0001),(seq : 0.0001),(diterpene : 0.0452),(viridiflava : 0.0493),(smt : 0.0229),(sterol : 0.0008),(pathogen : 0.0071)
66	(ll : 0.0199),(distal : 0.0001),(kdb : 0.0029),(cotyledon : 0.0228),(hyaloperonospora : 0.0001),(vitro : 0.0385),(thaliana : 0.0032),(m : 0.006),(noco : 0.0001),(hour : 0.0001),(dissect : 0.0001),(cage : 0.0027),(transgenerational : 0.0132),(analyse : 0.0001),(arabidopsidis : 0.0001),(rep : 0.0001),(tagatose : 0.0001),(apic : 0.0088),(ppa : 0.0198),(half : 0.0253),(arabidopsis : 0.0001),(midrib : 0.0001),(chromium : 0.0132),(cut : 0.0001),(leave : 0.023),(expand : 0.0279),(spurious : 0.0426),(´ : 0.0253),(d : 0.0003),(condition : 0.0096),(inoculate : 0.0001),(culture : 0.0001),(day : 0.0022),(excise : 0.0298),(treat : 0.0042),(xylem : 0.0059),(system : 0.004),(incubate : 0.0029),(meet : 0.0192),(expression : 0.0001),(isolate : 0.0001),(gene : 0.0001),(water : 0.0001),(apical : 0.0105),(leaf : 0.0001),(phenotypic : 0.0239),(explant : 0.0001),(b’γ : 0.0143),(proximal : 0.0001),(fragment : 0.0001)
67	(pti : 0.0005),(systemic : 0.0242),(distal : 0.0044),(dc : 0.0142),(priming : 0.0067),(locally : 0.0114),(ce : 0.0005),(hour : 0.0211),(dissect : 0.0112),(analyse : 0.006),(deficient : 0.0005),(analysis : 0.0008),(wide : 0.0037),(midrib : 0.006),(cut : 0.0084),(prr : 0.0005),(inoculate : 0.0173),(culture : 0.0118),(tomato : 0.0161),(syringae : 0.015),(pv : 0.0092),(expression : 0.0001),(avrrpm : 0.005),(defense : 0.0144),(water : 0.009),(leaf : 0.0008),(eti : 0.0014),(explant : 0.0107),(fragment : 0.0068)
68	(resolve : 0.0054),(dsh : 0.0029),(minute : 0.0379),(rna : 0.0418),(conserve : 0.0463),(transcriptome : 0.0001),(auxin : 0.0005),(show : 0.0001),(sc : 0.0005),(strand : 0.0236),(grow : 0.0016),(mch : 0.0054),(replicate : 0.0172),(rep : 0.0013),(flood : 0.0208),(responsiveness : 0.0005),(old : 0.0026),(analysis : 0.0003),(core : 0.0236),(hcrwn : 0.0001),(arabidopsis : 0.0213),(induction : 0.0085),(mutant : 0.0342),(dark : 0.0049),(abnormal : 0.0001),(smartseq : 0.0054),(simulate : 0.0054),(cap : 0.0009),(ect : 0.0364),(aba : 0.0005),(h : 0.0049),(microgravity : 0.0054),(principle : 0.0301),(dteh : 0.0055),(ad : 0.0295),(o : 0.0005),(protoplast : 0.0253),(day : 0.0131),(treat : 0.0142),(te : 0.0157),(system : 0.0059),(protein : 0.0138),(single : 0.0398),(ntt : 0.0081),(fewtr : 0.0028),(seddling : 0.0158),(background : 0.0005),(distribution : 0.0001),(root : 0.0001),(key : 0.0197),(centromere : 0.0001),(fep : 0.0056),(cell : 0.0171),(metabolite : 0.0054),(mg : 0.0159),(wip : 0.0081),(shoot : 0.0098),(wa : 0.0054),(ythdf : 0.0416),(secretion : 0.0001),(resistant : 0.0225)
69	(esb : 0.0005),(homeostasis : 0.0004),(plate : 0.0169),(lignin : 0.0001),(low : 0.0007),(wtcif : 0.0109),(soil : 0.0004),(sgn : 0.004),(control : 0.0001),(endodermis : 0.0001),(diffusion : 0.0001),(deposition : 0.0001),(spatially : 0.0001),(rsl : 0.0026),(fusarium : 0.0045),(chemically : 0.0001),(biorep : 0.0005),(mineral : 0.0001),(rhd : 0.0071),(brep : 0.0001),(sgncif : 0.0002),(lead : 0.0001),(require : 0.0019),(dpt : 0.0045),(nutrient : 0.0015),(pathway : 0.0001),(­schengen : 0.0001),(infect : 0.0353),(tetraploids : 0.0001),(oxysporum : 0.0045),(barrier : 0.0001),(redundancy : 0.0001),(separate : 0.0001),(k : 0.0001),(signaling : 0.0001),(sm : 0.0046),(stechrep : 0.0001),(syncom : 0.0049),(increase : 0.0001),(microbiota : 0.0025),(root : 0.0001),(coordination : 0.0001),(shoot : 0.0074),(neo : 0.0001),(distinct : 0.0001)
70	(non : 0.0005),(herbarium : 0.0029),(species : 0.031),(model : 0.0005),(specie : 0.0009),(african : 0.0058),(genomic : 0.0009),(hyrad : 0.0013),(ddrad : 0.0005),(plant : 0.0214)
71	(mdpcb : 0.0021),(inwier : 0.0001),(population : 0.0001),(structure : 0.0001),(mimsp : 0.0392),(introduction : 0.0001),(scale : 0.0001),(american : 0.0001),(hmdsr : 0.0004),(fine : 0.0001),(source : 0.0001),(inthrr : 0.0002),(hmdtcr : 0.0042),(north : 0.0001),(eurasia : 0.0001),(reveal : 0.0001),(inrct : 0.0001),(inwi : 0.0041),(multiple : 0.0001),(hinwier : 0.0048),(p : 0.0001)
72	(et : 0.0021),(generate : 0.0007),(population : 0.0001),(x : 0.0001),(msh : 0.0001),(col : 0.0001),(crossover : 0.0001),(ste : 0.0082),(wtgdna : 0.0002),(pgdna : 0.0001),(sequence : 0.0001),(datum : 0.0029),(srikant : 0.0007),(f : 0.0001),(ct : 0.0001),(al : 0.0013),(genotype : 0.0001),(sample : 0.0001),(identify : 0.0001),(sni : 0.0001),(location : 0.0001)
73	(et : 0.0003),(atac : 0.0001),(assembly : 0.0225),(generate : 0.0001),(population : 0.0001),(x : 0.0001),(msh : 0.0001),(thaliana : 0.009),(cvi : 0.0253),(col : 0.0001),(crossover : 0.0001),(wt : 0.0003),(asyhete : 0.0019),(level : 0.0221),(type : 0.0001),(baa : 0.0029),(× : 0.0001),(wild : 0.0001),(recqb : 0.0001),(bur : 0.0001),(sequence : 0.0001),(asy : 0.0001),(datum : 0.0004),(polii : 0.0332),(srikant : 0.0001),(f : 0.0001),(pacbio : 0.0118),(hei : 0.0001),(clc : 0.0001),(al : 0.0002),(genotype : 0.0001),(ler : 0.0001),(lane : 0.0001),(sample : 0.0048),(ei : 0.0001),(identify : 0.0001),(recqa : 0.0001),(ws : 0.0001),(tafb : 0.0001),(chromosome : 0.012),(location : 0.0001)
74	(imprint : 0.0001),(facilitate : 0.0139),(wt : 0.0029),(stage : 0.0069),(erf : 0.0041),(seed : 0.0011),(bent : 0.0033),(° : 0.0161),(extensive : 0.0001),(developmental : 0.0423),(endosperm : 0.0001),(produce : 0.0076),(quantitative : 0.015),(develop : 0.0357),(degree : 0.0021),(expression : 0.0002),(gene : 0.0008),(wtxcol : 0.0001),(wtxler : 0.0021),(entire : 0.0134),(generation : 0.013)
75	(rossette : 0.0398),(uvr : 0.0131),(adult : 0.0001),(abs : 0.0179),(trade : 0.018),(reil : 0.0024),(stch : 0.0024),(confer : 0.0032),(systemic : 0.0001),(general : 0.0001),(min : 0.0006),(low : 0.0003),(bbx : 0.0465),(ecological : 0.0001),(fr : 0.0025),(rna : 0.0323),(non : 0.0001),(contr : 0.018),(vigor : 0.0001),(albugensis : 0.0213),(signal : 0.0021),(division : 0.0001),(index : 0.0003),(akita : 0.0003),(transcriptome : 0.0117),(cotyledon : 0.0278),(pip : 0.0224),(immunity : 0.0001),(hulk : 0.0223),(fully : 0.0006),(grow : 0.0369),(sxaqseqsyal : 0.0028),(capability : 0.0001),(myboe : 0.0177),(coi : 0.0433),(prediction : 0.0001),(nhp : 0.0004),(timeserie : 0.0001),(true : 0.0001),(uv : 0.0002),(rep : 0.0004),(jai : 0.018),(organellar : 0.0098),(seedling : 0.0037),(base : 0.0007),(thirteen : 0.0354),(fast : 0.018),(rrna : 0.0024),(period : 0.0444),(catseq : 0.0212),(cybrid : 0.0098),(latex : 0.0213),(stability : 0.0072),(cold : 0.0019),(hydroxypipecolic : 0.0004),(cry : 0.0309),(arabidopsis : 0.0001),(cbfs : 0.0303),(seedlling : 0.0179),(promote : 0.0004),(transposable : 0.0005),(ja : 0.0001),(leave : 0.0001),(hfrwl : 0.0299),(peeled : 0.0213),(sdc : 0.0222),(npr : 0.0226),(connect : 0.0349),(self : 0.0001),(efficiency : 0.0001),(hfr : 0.003),(nkd : 0.0213),(imprinted : 0.0222),(characteristic : 0.0388),(photoreceptor : 0.0001),(ln : 0.0043),(elybur : 0.0472),(wave : 0.0002),(peel : 0.0213),(repression : 0.0323),(overxpressing : 0.0179),(processing : 0.0024),(photosynthesis : 0.0001),(transcriptional : 0.0135),(hn : 0.0003),(ge : 0.0356),(exogenous : 0.0001),(trigger : 0.0001),(sacb : 0.03),(fluctuating : 0.0002),(run : 0.0177),(remodeling : 0.0349),(ino : 0.0349),(domain : 0.0464),(stw : 0.0212),(myb : 0.0001),(drmcmt : 0.0178),(ry : 0.0001),(ros : 0.0001),(mock : 0.0001),(element : 0.0012),(growth : 0.0015),(circadian : 0.0067),(hiseq : 0.0459),(temperature : 0.0426),(treat : 0.0001),(eviction : 0.0349),(nitrogen : 0.0001),(light : 0.0033),(etoh : 0.018),(sa : 0.0001),(environmental : 0.0359),(tt : 0.0347),(moesziomyce : 0.0213),(hsp : 0.0179),(exp : 0.0004),(expression : 0.0003),(modulate : 0.0032),(protein : 0.0128),(characterization : 0.0436),(syncom : 0.0252),(elyely : 0.0257),(das : 0.0001),(complementary : 0.0001),(hl : 0.0357),(cbf : 0.0024),(consequence : 0.0001),(sxaqseqsybl : 0.018),(regulate : 0.0087),(ddcc : 0.0222),(phenotype : 0.0112),(orchestra : 0.0001),(sigma : 0.0355),(maize : 0.0001),(r : 0.0003),(sig : 0.0355),(reciprocal : 0.0126),(maternally : 0.0222),(sample : 0.0001),(leaf : 0.0001),(suppressor : 0.0179),(use : 0.0001),(suppresses : 0.0354),(cryuvr : 0.0005),(generic : 0.0001),(integration : 0.0017),(active : 0.0349),(atxr : 0.0035),(application : 0.0002),(naked : 0.0213),(plant : 0.0001),(cad : 0.0367),(sepal : 0.0359),(hbi : 0.018),(vs : 0.0339),(silence : 0.0492),(high : 0.0142),(ecap : 0.0422),(acclimation : 0.0003)
76	(palisade : 0.0033),(death : 0.0034),(fq : 0.0175),(triple : 0.0016),(npp : 0.0034),(sirna : 0.0001),(prc : 0.0257),(priming : 0.0146),(locally : 0.0439),(transcriptome : 0.021),(mirna : 0.0029),(posttranscriptional : 0.0115),(program : 0.0118),(mechanism : 0.0318),(tn : 0.0022),(upf : 0.0115),(activity : 0.0003),(mediate : 0.0001),(inh : 0.0033),(unequally : 0.0001),(dissect : 0.0027),(intracellular : 0.0001),(rep : 0.0005),(family : 0.0001),(landscape : 0.0015),(reference : 0.0033),(pathogn : 0.0034),(jr : 0.0033),(translational : 0.0229),(avrrpt : 0.0029),(helper : 0.0001),(overlapping : 0.018),(adr : 0.0003),(biogenesis : 0.0002),(ma : 0.0433),(sort : 0.0033),(h : 0.0001),(receptor : 0.0001),(aifang : 0.0175),(associate : 0.0214),(ago : 0.0001),(avrrps : 0.0006),(protoplast : 0.0171),(immune : 0.0001),(critical : 0.0367),(convergent : 0.0223),(pv : 0.038),(function : 0.0001),(co : 0.0035),(redundant : 0.0001),(signature : 0.0212),(coordinate : 0.0223),(avrrpm : 0.0019),(defense : 0.0418),(nonsense : 0.0115),(decay : 0.0001),(microbiota : 0.003),(target : 0.035),(herlperless : 0.0124),(dm : 0.0033),(slicer : 0.0001),(sensor : 0.0001),(cell : 0.0177),(nrg : 0.0032),(fac : 0.0045)
77	(read : 0.0001),(et : 0.0001),(atac : 0.0001),(generate : 0.0001),(population : 0.0001),(x : 0.0001),(msh : 0.0001),(south : 0.0001),(col : 0.0008),(crossover : 0.0001),(germany : 0.0001),(nextmet : 0.0001),(aa : 0.0002),(type : 0.0042),(pooledgdna : 0.0003),(wtgdna : 0.0002),(wild : 0.0001),(pgdna : 0.0001),(sequence : 0.0001),(pseudomona : 0.0456),(gdna : 0.0001),(datum : 0.0001),(rosette : 0.0001),(srikant : 0.0001),(f : 0.0001),(shotgun : 0.0001),(metagenome : 0.0456),(west : 0.0001),(ct : 0.0001),(genome : 0.0275),(al : 0.0001),(genotype : 0.0001),(cvic : 0.0138),(short : 0.0001),(colcp : 0.0001),(sample : 0.0001),(identify : 0.0001),(sni : 0.0001),(location : 0.0001)
78	(arrest : 0.0005),(biological : 0.0001),(bud : 0.0356),(cultured : 0.0431),(week : 0.0049),(control : 0.0001),(dtcap : 0.0286),(site : 0.0478),(oligo : 0.0286),(claw : 0.0017),(staman : 0.0034),(abscisic : 0.0005),(floral : 0.0158),(abscission : 0.0068),(replicate : 0.0002),(wasabi : 0.0001),(germination : 0.0001),(wab : 0.0036),(formation : 0.0195),(old : 0.022),(st : 0.0117),(nac : 0.008),(reach : 0.0001),(jmj : 0.0005),(ice : 0.0001),(mutant : 0.0372),(petal : 0.0052),(tip : 0.0001),(transcription : 0.0004),(apex : 0.0297),(maker : 0.0001),(differentiation : 0.0001),(acid : 0.0123),(degradation : 0.0413),(dependent : 0.0011),(domain : 0.0012),(title : 0.0001),(day : 0.0058),(growth : 0.0079),(factor : 0.0002),(crab : 0.0017),(fama : 0.0001),(scream : 0.0001),(guard : 0.0001),(protein : 0.0097),(height : 0.0001),(regulation : 0.0111),(superman : 0.0017),(sup : 0.0045),(flower : 0.0098),(position : 0.0085),(apical : 0.0299),(cell : 0.0015),(cm : 0.0001),(myrosin : 0.0001),(project : 0.0001),(plant : 0.0003),(jumonji : 0.0005),(contain : 0.0005),(bolt : 0.0036),(stem : 0.0001),(post : 0.0005),(cytokinin : 0.0217),(wsb : 0.0036)
79	(svpr : 0.0006),(svrp : 0.0001),(read : 0.0001),(bc : 0.0001),(female : 0.0001),(population : 0.0007),(x : 0.0001),(individual : 0.0001),(inro : 0.0389),(south : 0.0001),(col : 0.0001),(germany : 0.0001),(nextmet : 0.0001),(crosse : 0.0001),(dna : 0.0001),(type : 0.0001),(resequencing : 0.0001),(wild : 0.0001),(sequence : 0.0001),(heip : 0.0001),(pseudomona : 0.0001),(zyp : 0.0001),(rosette : 0.0001),(male : 0.0012),(f : 0.0002),(shotgun : 0.0001),(l : 0.0399),(metagenome : 0.0001),(west : 0.0001),(svrpa : 0.0005),(genome : 0.0001),(ler : 0.0001),(genomic : 0.0001),(recombinant : 0.0001),(short : 0.0001),(inrct : 0.0359),(cross : 0.0001)
80	(double : 0.0023),(atpola : 0.0035),(adult : 0.0352),(set : 0.001),(nrpda : 0.0094),(ll : 0.0227),(camelina : 0.0036),(conition : 0.0057),(virus : 0.0036),(distal : 0.039),(profiling : 0.0213),(non : 0.011),(torin : 0.0057),(b´γ : 0.0001),(control : 0.0005),(transcriptome : 0.0001),(shape : 0.0453),(b : 0.0001),(polymerase : 0.0071),(program : 0.0295),(fully : 0.0001),(strand : 0.0392),(arab : 0.0092),(med : 0.0005),(wt : 0.001),(prediction : 0.0435),(heat : 0.0002),(laibachii : 0.0311),(rep : 0.0001),(direct : 0.0309),(apic : 0.0005),(type : 0.0018),(n : 0.0005),(catalytic : 0.0035),(aphid : 0.0036),(ppa : 0.0001),(botrytis : 0.0094),(half : 0.0001),(arabidopsis : 0.0139),(wild : 0.0034),(comparison : 0.0001),(leave : 0.0001),(expand : 0.0001),(° : 0.0005),(efficiency : 0.0492),(mom : 0.0005),(mutant : 0.0001),(starvation : 0.0092),(atpolb : 0.0035),(technical : 0.0202),(c : 0.0006),(regulat : 0.0094),(ln : 0.0318),(´ : 0.0001),(behavior : 0.0036),(infest : 0.0036),(apex : 0.0225),(controls : 0.0005),(uvh : 0.0005),(circulative : 0.0036),(condition : 0.0013),(alteration : 0.0217),(pretreated : 0.0057),(comparative : 0.038),(ps : 0.0001),(ry : 0.0352),(camv : 0.0036),(reprogramme : 0.0257),(nitrogen : 0.0352),(poly : 0.0091),(stress : 0.0003),(relevant : 0.0036),(bisulfite : 0.0005),(subject : 0.0067),(dessication : 0.014),(sulfate : 0.0057),(mr : 0.0057),(ddm : 0.0129),(epsilon : 0.0035),(cg : 0.0398),(b’γζ : 0.0002),(sid : 0.0057),(recoverye : 0.0057),(dpd : 0.0057),(sample : 0.0024),(apical : 0.0001),(µm : 0.0057),(leaf : 0.0001),(use : 0.0352),(basal : 0.0001),(cinerea : 0.0094),(b’γ : 0.0001),(sulphate : 0.0057),(combine : 0.0015),(plant : 0.0001),(sulphur : 0.0057),(tor : 0.0057),(pulldown : 0.0035),(μm : 0.0057),(proximal : 0.0001)
81	(potent : 0.0002),(chip : 0.0005),(histone : 0.0001),(wound : 0.0003),(modification : 0.0002),(hac : 0.0001),(companion : 0.0107),(locally : 0.034),(state : 0.0004),(phloem : 0.0174),(intact : 0.0187),(chromatin : 0.002),(seedling : 0.0001),(dynamic : 0.0002),(old : 0.031),(hpr : 0.0028),(release : 0.0001),(precursor : 0.0001),(epigenome : 0.0337),(salt : 0.0067),(h : 0.0258),(hkme : 0.0001),(chang : 0.0017),(prime : 0.003),(syringae : 0.0482),(inhibitor : 0.0001),(apo : 0.01),(deacetylase : 0.0001),(growth : 0.012),(ac : 0.0019),(pifq : 0.0033),(lysine : 0.0017),(competitor : 0.0001),(acetylation : 0.0231),(temporal : 0.0002),(avrrpm : 0.0383),(ibm : 0.0176),(body : 0.0267),(hkac : 0.0004),(suppress : 0.0001),(clf : 0.0246),(apical : 0.05),(hk : 0.0021),(reporter : 0.0186),(hcr : 0.0198)
82	(select : 0.0001),(rna : 0.0008),(cdna : 0.0001),(mrnas : 0.0001),(study : 0.0008),(correspond : 0.0001),(type : 0.0001),(line : 0.0001),(response : 0.0024),(arabidopsis : 0.0001),(wild : 0.0001),(sequence : 0.0001),(early : 0.0001),(mutant : 0.0001),(capseq : 0.0001),(role : 0.0001),(isolation : 0.0001),(gene : 0.0001),(regulation : 0.0001),(eti : 0.0001)
83	( : 0.0003),(tss : 0.0157),(change : 0.0475),(architecture : 0.0426),(read : 0.002),(tcrx : 0.024),(polymorphism : 0.0257),(population : 0.022),(x : 0.0002),(cultured : 0.0025),(srkdei : 0.0381),(start : 0.0142),(shape : 0.0049),(invert : 0.0117),(chrrna : 0.0144),(site : 0.0102),(rnapiiserp : 0.0284),(psuc : 0.0285),(spatiotemporal : 0.0256),(col : 0.0006),(dataset : 0.0143),(crossover : 0.0007),(abscission : 0.0396),(vegetative : 0.0004),(rep : 0.0309),(insertional : 0.0117),(mintbody : 0.0284),(sam : 0.0428),(type : 0.0017),(seedling : 0.034),(delta : 0.0001),(urt : 0.0143),(t : 0.0117),(insertion : 0.0314),(code : 0.0117),(chipseq : 0.0061),(st : 0.0491),(arabidopsis : 0.0195),(raw : 0.0009),(wild : 0.0003),(sequence : 0.0001),(synergid : 0.0002),(model : 0.0001),(transciptome : 0.0144),(petal : 0.0256),(cesa : 0.0097),(rosette : 0.0135),(serp : 0.0142),(fd : 0.0428),(tbfxx : 0.0142),(endosidin : 0.0097),(f : 0.0001),(fiexcol : 0.0117),(adf : 0.0147),(animal : 0.0001),(tdp : 0.0141),(gametophyte : 0.0002),(large : 0.001),(dependent : 0.0158),(dehydration : 0.0254),(tail : 0.0143),(growth : 0.0104),(overlap : 0.0351),(cmt : 0.0001),(poly : 0.0285),(papilla : 0.0144),(stigma : 0.0144),(ppcf : 0.0147),(dessication : 0.0241),(performance : 0.0001),(near : 0.0117),(test : 0.0001),(fld : 0.0261),(epigenomic : 0.0418),(genotype : 0.0002),(ler : 0.0001),(organism : 0.0001),(cleavage : 0.0288),(rgnc : 0.0281),(position : 0.0022),(sample : 0.0001),(cell : 0.0151),(identify : 0.0002),(uridylation : 0.0143),(phenotypic : 0.0387),(rpx : 0.0343),(esr : 0.0336),(drought : 0.0404),(topology : 0.0117),(location : 0.0002)
84	(ppl : 0.0488),(involve : 0.0001),(local : 0.0001),(untreated : 0.0005),(hyaloperonospora : 0.0494),(mail : 0.0488),(genetic : 0.0001),(pmd : 0.0488),(tumv : 0.0084),(noco : 0.026),(stage : 0.0001),(dna : 0.0001),(timeserie : 0.0001),(arabidopsidis : 0.0494),(tagatose : 0.026),(aphid : 0.0163),(appear : 0.0001),(variation : 0.0001),(arabidopsis : 0.0001),(ja : 0.0001),(adaptation : 0.0001),(rosette : 0.0001),(c : 0.0001),(impact : 0.0165),(s : 0.0001),(mock : 0.0001),(treat : 0.0001),(sa : 0.0001),(gast : 0.0018),(rnas : 0.0084),(basis : 0.0001),(spatial : 0.0374),(sample : 0.0034),(leaf : 0.0001),(generic : 0.0001),(grid : 0.0032),(methylation : 0.0001)
85	(specific : 0.0126),(delimited : 0.0079),(trajectory : 0.0001),(spatially : 0.0079),(maturation : 0.0001),(analysis : 0.0001),(cellular : 0.0001),(epigenetic : 0.0116),(establish : 0.0079),(transcription : 0.0128),(network : 0.0079),(repression : 0.0079),(transcriptional : 0.0353),(link : 0.0001),(factor : 0.0089),(slx : 0.0001),(zat : 0.0103),(de : 0.0114),(tissue : 0.0001),(meristem : 0.0002),(specialization : 0.0001),(plant : 0.0003)
86	(widespread : 0.0308),(rna : 0.0001),(blade : 0.0384),(thaliana : 0.0003),(phyllobilin : 0.0089),(genetic : 0.0129),(physiological : 0.0055),(ectocarpus : 0.0307),(impair : 0.0487),(concentration : 0.0307),(gin : 0.0268),(accession : 0.045),(tolerance : 0.0038),(pseudomonas : 0.0121),(arath : 0.0493),(esmr : 0.0307),(arm : 0.0307),(tpsl : 0.033),(essential : 0.0056),(primordia : 0.0384),(mar : 0.0353),(harvest : 0.0058),(degradation : 0.0178),(hybrid : 0.0001),(hpi : 0.0003),(myb : 0.0158),(chlorophyll : 0.0089),(library : 0.0001),(cultivar : 0.0119),(oe : 0.0207),(cyp : 0.0485),(bzip : 0.022),(tert : 0.0471),(chain : 0.0035),(shb : 0.0001),(seq : 0.0001),(basis : 0.0258),(viridiflava : 0.0055),(ei : 0.0087),(libpl : 0.0072),(kin : 0.0487),(sha : 0.0409),(pathogen : 0.0264)
87	(iii : 0.0206),(double : 0.0494),(tss : 0.0052),(phyab : 0.0001),(profiling : 0.0083),(transcriptome : 0.0025),(yuc : 0.007),(b : 0.0415),(auxin : 0.0001),(jasmonate : 0.0007),(genetic : 0.0146),(phototropism : 0.0001),(wt : 0.0001),(etiolate : 0.0001),(miss : 0.0001),(greening : 0.007),(ppc : 0.007),(indepent : 0.0001),(mrna : 0.0169),(asymmetric : 0.0001),(replicate : 0.0105),(germination : 0.0447),(uv : 0.0367),(seedling : 0.0001),(t : 0.0313),(analysis : 0.0002),(molecular : 0.0001),(pmdc : 0.0029),(vector : 0.0029),(blue : 0.0237),(cry : 0.0028),(bl : 0.0031),(nj : 0.0005),(fox : 0.0029),(dark : 0.0002),(estradiol : 0.0084),(um : 0.0068),(hypocotyl : 0.0004),(d : 0.0006),(rooting : 0.0005),(darkness : 0.0001),(manner : 0.0001),(xpf : 0.007),(day : 0.0287),(treat : 0.0018),(regualte : 0.0028),(light : 0.001),(poly : 0.0069),(k : 0.0273),(role : 0.0147),(red : 0.0001),(hormone : 0.0233),(adventitious : 0.0005),(etiolated : 0.0014),(repressor : 0.0178),(arabidopsistreate : 0.0029),(distribution : 0.0001),(gh : 0.0029),(inducible : 0.0123),(duplicate : 0.011),(darkh : 0.003),(ethylene : 0.0172),(ii : 0.0339),(responsible : 0.0099),(enrichment : 0.0243)
88	(pfd : 0.0082),(double : 0.0082),(gfp : 0.0455),(corcor : 0.0081),(dependence : 0.0304),(fq : 0.0003),(triple : 0.0171),(jsi : 0.0004),(hy : 0.0151),(effector : 0.0001),(messenger : 0.0112),(topless : 0.0009),(express : 0.0001),(maydis : 0.0004),(srkdei : 0.0081),(transcriptome : 0.0032),(auxin : 0.0006),(mirna : 0.0001),(paa : 0.0081),(arabidospis : 0.0083),(detachment : 0.0472),(hyaloperonospora : 0.0001),(characterisation : 0.014),(resonse : 0.0001),(immunity : 0.0002),(max : 0.0192),(pdcr : 0.0081),(agb : 0.0083),(grow : 0.0032),(glucose : 0.0193),(facilitate : 0.0055),(athfh : 0.014),(detach : 0.0083),(bacterial : 0.0089),(hour : 0.0004),(hxk : 0.0112),(activation : 0.0001),(reprogramming : 0.0001),(mrna : 0.0176),(hijacking : 0.0004),(fate : 0.0083),(raf : 0.0162),(arabidopsidis : 0.0001),(rep : 0.0015),(fastq : 0.0021),(marchantia : 0.0001),(nae : 0.0083),(sam : 0.0239),(seedling : 0.0001),(ft : 0.0478),(responsiveness : 0.0007),(old : 0.0262),(n : 0.0191),(heterotrimeric : 0.0427),(production : 0.0112),(analysis : 0.0001),(seedle : 0.0145),(effect : 0.0025),(downstream : 0.0141),(favor : 0.0081),(arabidopsis : 0.0138),(atcacg : 0.025),(iaa : 0.0194),(comparison : 0.0191),(mpk : 0.0173),(prl : 0.0141),(cas : 0.0001),(cop : 0.0158),(lapse : 0.0472),(mm : 0.0008),(acylethanolamine : 0.0427),(mutant : 0.0001),(characteristic : 0.0221),(transcriptionally : 0.0427),(transgenic : 0.0001),(biogenesis : 0.0027),(exb : 0.0141),(fd : 0.0086),(corepressor : 0.0007),(wilt : 0.0081),(ma : 0.0185),(fh : 0.025),(pathway : 0.023),(ans : 0.014),(salt : 0.0001),(tm : 0.0143),(aba : 0.0001),(h : 0.0002),(ºc : 0.0112),(cga : 0.0001),(quintuple : 0.0008),(aifang : 0.0003),(associate : 0.0415),(qlj : 0.0141),(hakub : 0.0081),(o : 0.0014),(sail : 0.0363),(mock : 0.0252),(l : 0.0042),(day : 0.02),(growth : 0.0386),(hdcgmi : 0.0083),(wox : 0.0252),(hook : 0.0082),(quantitative : 0.0065),(pifq : 0.0082),(vdal : 0.0112),(region : 0.0402),(oe : 0.0354),(expression : 0.0025),(hyl : 0.0112),(protein : 0.0146),(gene : 0.0013),(characterization : 0.012),(fls : 0.014),(shabondama : 0.0082),(pep : 0.0343),(background : 0.0081),(interact : 0.0031),(gz : 0.0011),(frs : 0.0217),(r : 0.0115),(transcriptomes : 0.0081),(cofactor : 0.0269),(ustilago : 0.0004),(cgatgt : 0.0219),(uncover : 0.0081),(eff : 0.0004),(snrk : 0.0008),(shoot : 0.0022),(hotspot : 0.0162),(summ : 0.0173),(metabolic : 0.0383),(plant : 0.0001),(nacl : 0.0008),(entire : 0.0001),(generation : 0.0081),(transition : 0.0055),(drol : 0.0085),(pepr : 0.0132),(treatment : 0.0354)
89	(read : 0.0014),(thaliana : 0.0087),(vegetative : 0.0002),(arabidopsis : 0.0196),(raw : 0.0002),(sequence : 0.0346),(growth : 0.0007),(sample : 0.0185),(leaf : 0.0183),(plant : 0.0314)
90	(rnaseq : 0.0001),(biological : 0.0001),(cultured : 0.0125),(replicate : 0.0001),(suspension : 0.0001),(t : 0.0131),(analysis : 0.0001),(axr : 0.0024),(iaa : 0.0001),(technical : 0.0001),(h : 0.045),(culture : 0.0001),(heterochromatin : 0.0147),(treat : 0.0001),(rn : 0.0001),(peo : 0.0022),(tq : 0.0001),(dmso : 0.0179),(cell : 0.0001),(mmd : 0.0014)
